,0,score,known
563,TIAM2,0.7487310802841591,0
564,FUCA2,0.748308633461214,0
566,IGFBP7,0.7462201284903077,0
567,S100A12,0.7460741231420728,0
568,RXRA,0.7459196364447561,0
569,GAS6,0.7457348143331599,0
570,IL10RB,0.7455529534906162,0
571,DUSP2,0.7453765901416075,0
572,BLVRB,0.745038777032276,0
573,PEX14,0.7449831710867945,0
574,SPHK2,0.7449583545420115,0
575,CRABP2,0.7449070699169543,0
577,CCRL2,0.74456789642895,0
578,GPC6,0.7443373318124394,0
579,IL10RA,0.7442224144649267,0
580,CREB3,0.7442054563933337,0
581,ACOX2,0.7439131623160702,0
582,CAV1,0.7438952777688723,0
583,CES4A,0.743769948827112,0
584,FMO3,0.7429559508514797,0
586,PLA2R1,0.7422478970685711,0
588,NR1H2,0.7419702189561272,0
589,APP,0.7415722187818033,0
590,PLA2G12B,0.7412681527499033,0
592,TNFRSF25,0.7411820604174943,0
593,ACADS,0.7410506874266801,0
594,UGT1A7,0.740426171183693,0
595,IL4R,0.7401542474165845,0
596,FKBP1A,0.7400115430245959,0
598,BAD,0.739833817801418,0
599,PHOSPHO2,0.7397705666748121,0
600,ERO1L,0.739431442676085,0
602,KYNU,0.7392608280520935,0
603,RAP2A,0.7391598500546935,0
604,FGFR3,0.7391209760758921,0
605,AOC1,0.7387676833149608,0
606,NR2F2,0.7387474661896716,0
608,TNFRSF11B,0.7385588408718115,0
609,KIT,0.7380102010045988,0
610,LIFR,0.7377408844188384,0
611,GGT2,0.7374131225389146,0
612,HOGA1,0.7370710583516729,0
615,STAT5A,0.7368751185169713,0
617,DECR2,0.7362036206750412,0
618,MDK,0.7361773451226505,0
621,GATM,0.7359015728181522,0
622,ITGB2,0.7358516832044263,0
623,PCYT1A,0.7354528818954135,0
624,ACKR1,0.7350437483223253,0
626,DCSTAMP,0.7350234165788635,0
627,A1BG,0.7348986801603632,0
628,ATF6,0.7346264042940405,0
629,TXNRD2,0.7344931872346887,0
630,G0S2,0.734009872951365,0
631,CRLF2,0.7329218632150992,0
632,VCAN,0.7328116558396129,0
633,STAT5B,0.732751447285025,0
634,CYP26A1,0.7326421665976988,0
635,UBE2D2,0.7324993917590464,0
636,IRS4,0.7323810170162054,0
637,SASH3,0.7323177862242312,0
638,USF1,0.732176521038796,0
639,TOLLIP,0.7321381655973418,0
641,CREB3L4,0.7311039908307064,0
642,TEK,0.7310253090444104,0
643,CDON,0.7306685464003856,0
