gene,module
ATP6V1H,ME 47
ATP7A,ME 13
ATP8A1,ME 5
ATP8B2,ME 16
ATPAF1,ME 3
ATPAF2,ME 11
ATRN,ME 5
ATRX,ME 6
ATXN1,ME 9
ATXN10,ME 4
ATXN2L,ME 3
ATXN3,ME 1
AUH,ME 1
AUP1,ME 37
AURKB,ME 8
AZGP1,ME 8
AZI2,ME 35
AZU1,ME 7
B2M,ME 20
B2M,ME 44
B3GALT6,ME 2
B3GAT3,ME 45
B3GNT8,ME 7
B4GALT1,ME 38
B4GALT3,ME 38
B4GALT5,ME 4
B4GALT7,ME 2
BABAM1,ME 2
BACH1,ME 5
BACH2,ME 6
BAG1,ME 6
BAG2,ME 6
BAG3,ME 17
BAG5,ME 1
BAG6,ME 2
BAHD1,ME 1
BAIAP2,ME 5
BAK1,ME 3
BANF1,ME 3
BANP,ME 2
BASP1,ME 19
BAX,ME 1
BAZ1A,ME 40
BAZ1B,ME 4
BAZ2A,ME 19
BBC3,ME 1
BCAP29,ME 9
BCAS2,ME 2
BCAS3,ME 1
BCAT1,ME 5
BCAT2,ME 2
BCCIP,ME 3
BCKDHA,ME 14
BCKDHB,ME 14
BCKDK,ME 3
BCL10,ME 3
BCL11A,ME 15
BCL11A,ME 15
BCL11B,ME 17
BCL2,ME 6
BCL2A1,ME 7
BCL2L1,ME 11
BCL2L13,ME 12
BCL6,ME 27
BCL7A,ME 3
BCL7B,ME 3
BCL7C,ME 12
BCL9,ME 6
BCL9L,ME 30
BCLAF1,ME 4
BCR,ME 12
BCS1L,ME 40
BDH1,ME 12
BDH2,ME 3
BECN1,ME 2
BEND3,ME 1
BET1,ME 3
BICD2,ME 5
BID,ME 5
BIN1,ME 25
BIN2,ME 1
BIRC6,ME 2
BLK,ME 15
BLM,ME 6
BLMH,ME 18
BLNK,ME 15
BLOC1S1,ME 10
BLOC1S2,ME 10
BLOC1S4,ME 10
BLOC1S5,ME 1
BLOC1S6,ME 2
BLVRA,ME 9
BLVRB,ME 27
BMP2K,ME 5
BMS1,ME 14
BMX,ME 7
BNIP2,ME 9
BOD1L1,ME 22
BOLA1,ME 3
BOP1,ME 14
BPGM,ME 1
BPI,ME 20
BPNT1,ME 1
BPTF,ME 34
BRAF,ME 2
BRAP,ME 1
BRAT1,ME 2
BRCC3,ME 12
BRD1,ME 1
BRD2,ME 16
BRD3,ME 12
BRD4,ME 1
BRD7,ME 2
BRD8,ME 3
BRE,ME 12
BRF1,ME 3
BRI3,ME 7
BRIP1,ME 5
BRIX1,ME 14
BRK1,ME 13
BRMS1,ME 2
BRMS1L,ME 6
BROX,ME 9
BRPF1,ME 1
BSG,ME 13
BST1,ME 7
BTAF1,ME 3
BTD,ME 8
BTF3,ME 3
BTF3L4,ME 4
BTK,ME 19
BTLA,ME 6
BTN3A1,ME 1
BTN3A3,ME 30
BUB3,ME 4
BUD31,ME 6
BYSL,ME 14
BZW1,ME 45
C10orf11,ME 7
C10orf32,ME 10
C11orf30,ME 4
C11orf31,ME 4
C11orf54,ME 21
C11orf73,ME 10
C12orf10,ME 3
C12orf66,ME 2
C14orf1,ME 1
C14orf142,ME 12
C14orf166,ME 1
C16orf62,ME 9
