,scores,logfc
SH2D4A,0.0535491275914745,0.209644051
RUSC1,0.0527701102802732,0.300000194
IPO5,0.0527251364243182,1.613200702
RAB11FIP2,0.0526861403153389,0.371169165
TK1,0.0525297021296397,0.567275607
SLC39A13,0.0524108618589805,0.418443674
NSMCE4A,0.0521439813212988,1.59655789
NDE1,0.0513418087076564,0.4809715
HEXIM1,0.0503949312965647,2.105549524
CEP250,0.0500647053467392,0.200361169
TMEM189,0.0482022589391711,0.988371336
HAUS4,0.0477175790736352,0.569693004
PDE7A,0.0476814395243084,0.283355616
AK2,0.0474099173304796,13.42525256
SPC24,0.0471312958035396,0.718644524
CNTNAP1,0.0466350373690921,0.175425422
MRPL9,0.0458619572584637,1.567444464
BANP,0.0453130506390057,0.604344741
GFM1,0.0452933412497551,2.143526426
TNS3,0.0450117025299571,0.99210384
SLC25A13,0.0439741855790019,12.39125937
CELF2,0.0436282816371671,1.804681064
SLC1A2,0.0431705033655529,4.676830172
KCNK5,0.0426730609200813,0.683851772
ACOT11,0.042423905082708,0.506248695
DLG3,0.0413811580933944,0.456613132
TYMS,0.0396556449654253,0.244350441
ZFP2,0.0394857724943027,0.366525623
NUDCD3,0.0387146169398061,1.20170474
COQ10B,0.0384137737989669,2.285603829
PLIN4,0.0383108933094108,0.295359633
HSF4,0.0381801400850491,0.168197666
TRAF3IP1,0.0381452747454544,0.261164147
QRSL1,0.0378569491068413,0.207648056
TCEA3,0.0373783916158445,3.119884756
FBXO21,0.0372698926952771,2.927531756
CLUAP1,0.0369745638998028,0.247921612
MPLKIP,0.0369313762546275,0.884280858
SPC25,0.0369061550100585,0.534296533
ORC5,0.0369013337521158,0.564123028
RAD51D,0.0368196661336408,0.407046187
LGALS4,0.0367923364404606,0.434822992
PDE9A,0.0354722741743473,0.63686465
IQSEC2,0.0346218765260889,0.286030999
CDT1,0.0346020631674002,0.159085557
KCNC3,0.0345243935057577,0.216994665
INTS4,0.034287112719692,0.318681857
REV1,0.0342593410477494,0.516984192
ARRDC3,0.0342052837509015,6.787453903
ZC3H8,0.0337839030130361,0.24930262
ODF2,0.0336533087632155,0.283932073
UBIAD1,0.0335119122344629,0.360219835
ZCCHC11,0.0334955312330099,1.080728228
PLEKHG6,0.0334310454471738,0.432474939
CIB2,0.0332444344105426,0.263679425
SURF6,0.0329627058451031,0.438366457
DCLRE1A,0.0324396872150351,0.32266168
CDCA3,0.0323154070938602,0.128616722
L3MBTL2,0.03200850445566,0.475716756
PUS10,0.0319407975821018,0.815465684
SMC4,0.0316040536957556,0.492851199
ATXN7L1,0.0312292450079855,0.434422201
AQP4,0.0311456778101929,1.194636618
KCTD2,0.0310485914205056,0.913134063
AQP11,0.0310350667079197,3.639375197
TBCEL,0.030833497408948,1.62608114
TERF2,0.0306968885278247,0.467919294
MCM6,0.0303559755749422,0.221536144
SLX1B,0.0298620533944454,0.26336283
PREPL,0.0296072450785239,0.329836912
TRMT2B,0.0293872367279666,0.851569432
AATF,0.0288711326550925,0.785257972
ITPRIPL1,0.028493535707,0.346534256
DIP2B,0.0277833723130585,0.329039606
WDR73,0.0272583491474533,0.584930653
SLC13A3,0.0263809611319152,0.69285792
PPP1R14B,0.0261893150269699,2.070155963
MCM2,0.0260997628111849,0.147648739
ADARB1,0.0258985212287522,0.575318402
MCM10,0.0255229562977868,3.666039792
EXOSC1,0.0248344485815049,0.571325868
RBBP9,0.0248306039841387,1.129020414
RRM2,0.0247437867764599,0.300408129
DOCK8,0.0245525989301258,0.395271951
PHF20,0.0244646152598494,0.334962426
VWA8,0.0243520617287025,4.556267124
ALKBH3,0.0243445657427482,0.607059106
CREBL2,0.0241214316370057,2.056286157
HEATR6,0.0236875890730635,0.570492685
IARS2,0.0234873063689008,2.016444126
RBM19,0.0230343953403074,0.363479537
MXI1,0.0223645044847862,1.072225921
RPA2,0.0216134025393934,0.25176604
ADAM11,0.0213371876960388,0.441003153
GINS1,0.0212646326050718,0.154132232
MOXD1,0.021243831504572,0.60685016
DNAJC17,0.0205966316791964,0.10354284
