0,score,known
DDC,0.7672087229670586,1
ACOT1,0.7671784874753234,0
JAK2,0.7670856696298037,1
FAHD2A,0.7669755156545918,0
ADH5,0.7669527208740307,0
ALDH6A1,0.7669485923695617,0
PAOX,0.766731029802083,0
ACADM,0.7666200046572698,0
IL2RG,0.7663076565434579,0
ACOT2,0.7662700518811818,0
ANKRD1,0.7656905850224552,0
TGS1,0.7656777588320922,0
MBTPS2,0.7655025327365643,0
PROC,0.7652244204037255,0
LRP12,0.7646195171088189,0
HBEGF,0.7645141613431129,0
PTN,0.7640148630738507,0
SCARB1,0.7639041761844164,1
ECI1,0.7635358832097603,0
PEX12,0.7628667454866579,0
CCL5,0.7625498768633954,0
PTGES2,0.762435100105494,0
HNF1A,0.7624047406837583,0
DMP1,0.7620860774540283,0
DDO,0.7617543303805374,0
MAGED1,0.7617200291844789,0
CP,0.7615134323085274,1
RERE,0.761326414543063,0
CTAGE6,0.7610653121405804,0
PRKCSH,0.7605512838707912,0
AHSG,0.7600628841519119,1
DUSP4,0.7600267431843858,0
ACSS1,0.7594296577371994,0
S100A8,0.7593616092068302,0
CALU,0.7593219203820002,0
SIRT3,0.758767740482462,1
DUSP9,0.7585782697687374,0
ALDH3A2,0.7581631497674981,0
FSTL3,0.7580175066415,0
SERPINA6,0.7579087945749345,0
UGT1A1,0.757520023888735,0
MAP2K4,0.757358938308408,0
CTF1,0.7572620295096454,0
FGG,0.7567176533318234,1
MFGE8,0.7565594193220284,0
TLR5,0.7563821479139099,0
UGT1A10,0.7559431165100333,0
SLC6A4,0.75587749327965,0
MAPK8IP1,0.755867602076622,0
NNMT,0.7556349574125095,1
NR0B1,0.7554858021273464,0
ALDH1A2,0.7553214334777572,0
FASLG,0.7547245865745281,0
CYP2D6,0.7547018251708215,0
IGF1R,0.754444889372841,0
TLR7,0.7544348803204799,0
MBTPS1,0.7544327137403,0
BCL2L11,0.7541672910970342,0
SERPINE1,0.7540733645787417,0
SHBG,0.7535874777686475,0
IL2RB,0.7535372195151553,0
ALOX5AP,0.7534550164448033,0
ORM1,0.7532643732209264,1
JAK1,0.7532051411715847,0
RDH10,0.7528155716039953,0
ITGAX,0.752784495599433,1
MAPK8IP2,0.7527049489298366,0
DDAH2,0.7521673955016219,0
SRXN1,0.7516508545865943,0
HYAL3,0.7514969848376846,0
IL3,0.75124486375738,1
IL22RA1,0.7510466106865785,0
MMP3,0.7509489796974488,0
PRKCD,0.7506404231323351,1
